Band_8;Band_9;Band_3;Band_10;Band_11;Band_4;Band_12;Band_1;Band_13;Band_14;Band_15;Band_2;Band_16;Band_17;Band_18;Band_19;Band_5;Band_6;Band_7
0;0;0;0;0;0;0;0;0.00867226;0;0;0;0;0;0;0;0;0;0
0;0;0.0086487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.00189406;0;0;0;0;0;0;0;0;0;0
0;0;0.0178435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.000560686;0;0;0;0;0;0;0;0;0;0
0;0;0.0404898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0.000183055;0;0;0;0;0;0;0;0;0;0
0;0;0.101683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;8.03E-05;0;0;0;0;0;0;0;0;0;0
0;0;0.239842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.449592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;6.77E-05;0;0;0;0;0;0;0;0;0;0
0;0;0.691881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.87658;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.975988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.16E-05;5.22E-05;0;0.000113562;0;0;0;0.00015214;8.20E-05;0.0015824;0.000141136;6.57E-05;7.39E-06;9.41E-06;4.47E-06;5.72E-06;9.15E-05;3.52E-05;6.40E-05
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.969344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.901278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.845132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.837311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.843284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.846415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.860784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.884946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.911153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.79E-05;4.45E-05;0;0.00196864;0;0;0;0.000241266;2.88E-05;0.00290369;0.000203361;0.000214465;8.93E-06;5.35E-06;3.72E-06;7.89E-06;3.69E-05;3.32E-05;6.33E-05
0;0;0.92919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.917578;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0.870342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.0021421;0;0;0;0;0;0;0;0;0
0;0;0.787985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00237502;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00237502;0;0;0;0;0;0;0;0;0
0;0;0.665293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00285216;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00285216;0;0;0;0;0;0;0;0;0
0;0;0.502695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00410756;0;0;0;0;0;0;0;0;0
0;0;0.321345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00885956;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.00885956;0;0;0;0;0;0;0;0;0
0;0;0.171332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.0271083;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.0271083;0;0;0;0;0;0;0;0;0
0;0;0.0784788;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.0791932;0;0;0;0;0;0;0;0;0
0;0;0.0331535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2.88E-05;4.77E-05;0;0.00123476;0;0;0;0.000447549;5.94E-05;0;0.000364824;0.000165336;5.01E-06;2.89E-06;2.65E-06;3.30E-06;4.44E-05;3.44E-05;4.25E-05
0;0;0;0;0;0;0;0;0;0.183004;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.183004;0;0;0;0;0;0;0;0;0
0;0;0.0144349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.356889;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.356889;0;0;0;0;0;0;0;0;0
0;0;0.00670438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.596681;0;0;0;0;0;0;0;0;0
0;0;0.0034712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.806388;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.806388;0;0;0;0;0;0;0;0;0
0;0;0.00188232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.911347;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0.911347;0;0;0;0;0;0;0;0;0
0;0;0.00116973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
